Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.98,Denial of Service,ACS712,0.165,165
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.604,Denial of Service,ACS712,0.217,217
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.8639999999999999,Denial of Service,ACS712,0.072,72
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.46799999999999997,Denial of Service,ACS712,0.039,39
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.22799999999999998,Denial of Service,ACS712,0.019,19
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.604,Denial of Service,ACS712,0.217,217
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.416,Denial of Service,ACS712,0.118,118
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,3.168,Denial of Service,ACS712,0.264,264
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,3.168,Denial of Service,ACS712,0.264,264
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.416,Denial of Service,ACS712,0.118,118
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.292,Denial of Service,ACS712,0.191,191
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.3760000000000003,Denial of Service,ACS712,0.198,198
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,3.3240000000000003,Denial of Service,ACS712,0.277,277
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.156,Denial of Service,ACS712,0.013,13
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.292,Denial of Service,ACS712,0.191,191
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.292,Denial of Service,ACS712,0.191,191
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.708,Denial of Service,ACS712,-0.059,-59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.624,Denial of Service,ACS712,0.052,52
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.448,Denial of Service,ACS712,0.204,204
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.624,Denial of Service,ACS712,0.052,52
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.896,Denial of Service,ACS712,0.158,158
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.22799999999999998,Denial of Service,ACS712,0.019,19
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.156,Denial of Service,ACS712,-0.013,-13
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.8119999999999998,Denial of Service,ACS712,0.151,151
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.688,Denial of Service,ACS712,0.224,224
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.5,Denial of Service,ACS712,0.125,125
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.98,Denial of Service,ACS712,0.165,165
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.8639999999999999,Denial of Service,ACS712,0.072,72
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.22799999999999998,Denial of Service,ACS712,0.019,19
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.208,Denial of Service,ACS712,0.184,184
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.156,Denial of Service,ACS712,0.013,13
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.844,Denial of Service,ACS712,0.237,237
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.7399999999999998,Denial of Service,ACS712,0.145,145
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.8119999999999998,Denial of Service,ACS712,0.151,151
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,3.24,Denial of Service,ACS712,0.27,270
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.396,Denial of Service,ACS712,-0.033,-33
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.3760000000000003,Denial of Service,ACS712,0.198,198
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,3.564,Denial of Service,ACS712,0.297,297
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.156,Denial of Service,ACS712,-0.013,-13
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.292,Denial of Service,ACS712,0.191,191
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,3.4799999999999995,Denial of Service,ACS712,0.29,290
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.928,Denial of Service,ACS712,0.244,244
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.532,Denial of Service,ACS712,0.211,211
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.448,Denial of Service,ACS712,0.204,204
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.156,Denial of Service,ACS712,-0.013,-13
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.3760000000000003,Denial of Service,ACS712,0.198,198
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.532,Denial of Service,ACS712,0.211,211
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.604,Denial of Service,ACS712,0.217,217
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.8639999999999999,Denial of Service,ACS712,0.072,72
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.292,Denial of Service,ACS712,0.191,191
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.7399999999999998,Denial of Service,ACS712,0.145,145
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.46799999999999997,Denial of Service,ACS712,-0.039,-39
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.312,Denial of Service,ACS712,0.026,26
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.292,Denial of Service,ACS712,0.191,191
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.896,Denial of Service,ACS712,0.158,158
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.844,Denial of Service,ACS712,0.237,237
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.22799999999999998,Denial of Service,ACS712,0.019,19
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.46799999999999997,Denial of Service,ACS712,0.039,39
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.928,Denial of Service,ACS712,0.244,244
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.416,Denial of Service,ACS712,0.118,118
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.448,Denial of Service,ACS712,0.204,204
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.7399999999999998,Denial of Service,ACS712,0.145,145
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.7399999999999998,Denial of Service,ACS712,0.145,145
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.312,Denial of Service,ACS712,-0.026,-26
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.3760000000000003,Denial of Service,ACS712,0.198,198
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.7399999999999998,Denial of Service,ACS712,0.145,145
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.98,Denial of Service,ACS712,0.165,165
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.416,Denial of Service,ACS712,0.118,118
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.8639999999999999,Denial of Service,ACS712,0.072,72
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.844,Denial of Service,ACS712,0.237,237
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.07200000000000001,Denial of Service,ACS712,-0.006,-6
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.688,Denial of Service,ACS712,0.224,224
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,2.292,Denial of Service,ACS712,0.191,191
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,1.8119999999999998,Denial of Service,ACS712,0.151,151
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,-0.156,Denial of Service,ACS712,-0.013,-13
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,3.96,Denial of Service,ACS712,0.33,330
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-0.312,Denial of Service,ACS712,-0.026,-26
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.292,Denial of Service,ACS712,0.191,191
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.532,Denial of Service,ACS712,0.211,211
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.448,Denial of Service,ACS712,0.204,204
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.0,Denial of Service,ACS712,0.0,0
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.3760000000000003,Denial of Service,ACS712,0.198,198
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-0.948,Denial of Service,ACS712,-0.079,-79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.7720000000000002,Denial of Service,ACS712,0.231,231
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,3.8760000000000003,Denial of Service,ACS712,0.323,323
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,3.0,Denial of Service,ACS712,0.25,250
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.156,Denial of Service,ACS712,0.013,13
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.98,Denial of Service,ACS712,0.165,165
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.0,Denial of Service,ACS712,0.0,0
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.928,Denial of Service,ACS712,0.244,244
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-1.6560000000000001,Denial of Service,ACS712,-0.138,-138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.532,Denial of Service,ACS712,0.211,211
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.7399999999999998,Denial of Service,ACS712,0.145,145
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,3.084,Denial of Service,ACS712,0.257,257
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.8639999999999999,Denial of Service,ACS712,0.072,72
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-1.6560000000000001,Denial of Service,ACS712,-0.138,-138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.208,Denial of Service,ACS712,0.184,184
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.7720000000000002,Denial of Service,ACS712,0.231,231
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-0.708,Denial of Service,ACS712,-0.059,-59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,3.24,Denial of Service,ACS712,0.27,270
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.208,Denial of Service,ACS712,0.184,184
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.312,Denial of Service,ACS712,0.026,26
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.07200000000000001,Denial of Service,ACS712,0.006,6
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-0.948,Denial of Service,ACS712,-0.079,-79
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-0.07200000000000001,Denial of Service,ACS712,-0.006,-6
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.312,Denial of Service,ACS712,0.026,26
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.98,Denial of Service,ACS712,0.165,165
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.07200000000000001,Denial of Service,ACS712,0.006,6
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.8119999999999998,Denial of Service,ACS712,0.151,151
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.46799999999999997,Denial of Service,ACS712,0.039,39
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.3760000000000003,Denial of Service,ACS712,0.198,198
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.928,Denial of Service,ACS712,0.244,244
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.8639999999999999,Denial of Service,ACS712,0.072,72
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.46799999999999997,Denial of Service,ACS712,0.039,39
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.416,Denial of Service,ACS712,0.118,118
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.46799999999999997,Denial of Service,ACS712,0.039,39
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.5,Denial of Service,ACS712,0.125,125
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.1880000000000002,Denial of Service,ACS712,0.099,99
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.8639999999999999,Denial of Service,ACS712,0.072,72
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.928,Denial of Service,ACS712,0.244,244
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-0.46799999999999997,Denial of Service,ACS712,-0.039,-39
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.448,Denial of Service,ACS712,0.204,204
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.6560000000000001,Denial of Service,ACS712,0.138,138
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.624,Denial of Service,ACS712,0.052,52
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.416,Denial of Service,ACS712,0.118,118
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.208,Denial of Service,ACS712,0.184,184
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.624,Denial of Service,ACS712,0.052,52
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.0,Denial of Service,ACS712,0.0,0
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,-0.07200000000000001,Denial of Service,ACS712,-0.006,-6
MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,1.584,Denial of Service,ACS712,0.132,132
